; Number of ROIs: 2
; File Dimension: 507 x 624
;
; ROI name: water
; ROI rgb value: {72, 72, 255}
; ROI npts: 4335
;
; ROI name: land
; ROI rgb value: {255, 206, 116}
; ROI npts: 3300
;
; File X, File Y, Map X, Map Y, Lat, Lon, B1, B2, B3, B4
 6384,  7136,  763800.0000,  2628640.0000,  23.74721048,  119.58799105,  533,  532,  185,  110
 6385,  7136,  763810.0000,  2628640.0000,  23.74720884,  119.58808907,  493,  489,  185,  103
 6386,  7136,  763820.0000,  2628640.0000,  23.74720720,  119.58818710,  473,  483,  180,  107
 6387,  7136,  763830.0000,  2628640.0000,  23.74720555,  119.58828513,  477,  469,  160,  110
 6388,  7136,  763840.0000,  2628640.0000,  23.74720391,  119.58838315,  466,  428,  157,  112
 6389,  7136,  763850.0000,  2628640.0000,  23.74720227,  119.58848118,  441,  396,  174,  111
 6390,  7136,  763860.0000,  2628640.0000,  23.74720063,  119.58857921,  402,  376,  170,  105
 6391,  7136,  763870.0000,  2628640.0000,  23.74719898,  119.58867723,  420,  375,  161,  103
 6392,  7136,  763880.0000,  2628640.0000,  23.74719734,  119.58877526,  430,  350,  165,  108
 6393,  7136,  763890.0000,  2628640.0000,  23.74719570,  119.58887328,  385,  346,  169,  115
 6394,  7136,  763900.0000,  2628640.0000,  23.74719405,  119.58897131,  376,  336,  161,  107
 6395,  7136,  763910.0000,  2628640.0000,  23.74719241,  119.58906934,  405,  334,  169,  109
 6396,  7136,  763920.0000,  2628640.0000,  23.74719077,  119.58916736,  375,  342,  176,  113
 6397,  7136,  763930.0000,  2628640.0000,  23.74718913,  119.58926539,  370,  337,  163,  107
 6398,  7136,  763940.0000,  2628640.0000,  23.74718748,  119.58936342,  401,  346,  156,  106
 6399,  7136,  763950.0000,  2628640.0000,  23.74718584,  119.58946144,  429,  338,  156,   99
 6400,  7136,  763960.0000,  2628640.0000,  23.74718420,  119.58955947,  433,  360,  166,   97
 6401,  7136,  763970.0000,  2628640.0000,  23.74718255,  119.58965749,  395,  365,  164,   97
 6402,  7136,  763980.0000,  2628640.0000,  23.74718091,  119.58975552,  394,  315,  165,  110
 6403,  7136,  763990.0000,  2628640.0000,  23.74717926,  119.58985355,  395,  297,  165,   99
 6404,  7136,  764000.0000,  2628640.0000,  23.74717762,  119.58995157,  379,  326,  164,  113
 6405,  7136,  764010.0000,  2628640.0000,  23.74717598,  119.59004960,  387,  328,  149,  105
 6406,  7136,  764020.0000,  2628640.0000,  23.74717433,  119.59014763,  386,  333,  154,  104
 6407,  7136,  764030.0000,  2628640.0000,  23.74717269,  119.59024565,  392,  309,  152,  104
 6408,  7136,  764040.0000,  2628640.0000,  23.74717105,  119.59034368,  400,  341,  148,  111
 6409,  7136,  764050.0000,  2628640.0000,  23.74716940,  119.59044170,  439,  333,  151,  107
 6410,  7136,  764060.0000,  2628640.0000,  23.74716776,  119.59053973,  415,  332,  155,  106
 6411,  7136,  764070.0000,  2628640.0000,  23.74716611,  119.59063776,  419,  326,  153,   98
 6412,  7136,  764080.0000,  2628640.0000,  23.74716447,  119.59073578,  414,  327,  154,   95
 6413,  7136,  764090.0000,  2628640.0000,  23.74716283,  119.59083381,  407,  309,  155,  105
 6414,  7136,  764100.0000,  2628640.0000,  23.74716118,  119.59093184,  398,  309,  157,  115
 6415,  7136,  764110.0000,  2628640.0000,  23.74715954,  119.59102986,  371,  328,  165,  105
 6416,  7136,  764120.0000,  2628640.0000,  23.74715789,  119.59112789,  363,  331,  157,  104
 6417,  7136,  764130.0000,  2628640.0000,  23.74715625,  119.59122591,  377,  327,  157,  114
 6418,  7136,  764140.0000,  2628640.0000,  23.74715460,  119.59132394,  390,  305,  156,   86
 6419,  7136,  764150.0000,  2628640.0000,  23.74715296,  119.59142197,  412,  336,  148,   99
 6420,  7136,  764160.0000,  2628640.0000,  23.74715131,  119.59151999,  396,  329,  152,  114
 6421,  7136,  764170.0000,  2628640.0000,  23.74714967,  119.59161802,  350,  321,  155,  111
 6422,  7136,  764180.0000,  2628640.0000,  23.74714802,  119.59171604,  374,  320,  154,   91
 6423,  7136,  764190.0000,  2628640.0000,  23.74714638,  119.59181407,  385,  321,  146,   95
 6424,  7136,  764200.0000,  2628640.0000,  23.74714474,  119.59191210,  331,  308,  140,  101
 6425,  7136,  764210.0000,  2628640.0000,  23.74714309,  119.59201012,  374,  320,  137,  100
 6426,  7136,  764220.0000,  2628640.0000,  23.74714145,  119.59210815,  376,  322,  140,   93
 6427,  7136,  764230.0000,  2628640.0000,  23.74713980,  119.59220618,  386,  310,  148,   94
 6428,  7136,  764240.0000,  2628640.0000,  23.74713815,  119.59230420,  376,  309,  149,   99
 6429,  7136,  764250.0000,  2628640.0000,  23.74713651,  119.59240223,  368,  327,  153,   92
 6430,  7136,  764260.0000,  2628640.0000,  23.74713486,  119.59250025,  409,  325,  137,   82
 6431,  7136,  764270.0000,  2628640.0000,  23.74713322,  119.59259828,  381,  298,  136,   94
 6432,  7136,  764280.0000,  2628640.0000,  23.74713157,  119.59269631,  352,  311,  135,   97
 6433,  7136,  764290.0000,  2628640.0000,  23.74712993,  119.59279433,  378,  309,  142,   96
